file,row_type,file,line,token_len,score_joy,score_sadness,score_anticipation,score_surprise,score_anger,score_fear,score_disgust,score_trust,text
014_8emo,summary,014.docx,509,10419,0.2893323589533509,0.09053988886031017,0.21752279693048543,0.21717368787582708,0.01114698936764795,0.08311186061096186,0.08976823295016494,0.06244503136029859,Average Token Length: 20.47
015_8emo,summary,015.docx,943,16591,0.19159246497409277,0.09569974742091063,0.23420954782472309,0.23241579169032192,0.008575750568504854,0.08880399617594632,0.06413638949752731,0.03159607039512188,Average Token Length: 17.59
016_8emo,summary,016.docx,208,4803,0.11197351076967046,0.21365090505031942,0.260561527385457,0.21214961733606358,0.026245308338100307,0.2401010452684624,0.1595217423052348,0.027968754702529762,Average Token Length: 23.09
017_8emo,summary,017.docx,617,14124,0.21431572578780994,0.1264383772499799,0.2284097287689171,0.16673329228994163,0.011573141808863095,0.09086581106513521,0.09516603605537954,0.04883763682047385,Average Token Length: 22.89
018_8emo,summary,018.docx,1082,21078,0.18116317088169162,0.11570875374376498,0.21534642312062865,0.18371927122328974,0.02193829545931109,0.09101522029954218,0.1169031076963867,0.048897203660416014,Average Token Length: 19.48
019_8emo,summary,019.docx,813,14907,0.1757027578871207,0.10455672028285495,0.2860211008534793,0.21851171217434942,0.016739253387448513,0.12266725197899514,0.10456021710013716,0.021022483932145335,Average Token Length: 18.34
020_8emo,summary,020.docx,105,2830,0.18970063560243164,0.08121814568571392,0.40125782586456765,0.1913792825437018,0.011937572874705352,0.1658190091894496,0.0852307299684201,0.059050688312743745,Average Token Length: 26.95
021_8emo,summary,021.docx,100,2845,0.1452550511667505,0.14471257410012187,0.2961648327531293,0.22744583435356616,0.04498784100753255,0.18073602730873972,0.17316044624429197,0.03676651912042871,Average Token Length: 28.45
022_8emo,summary,022.docx,972,16934,0.20754283794955017,0.08826500718355362,0.2159333965334363,0.2557375579459186,0.009676597518820043,0.06199471361517385,0.08815575329876225,0.03363851145524992,Average Token Length: 17.42
023_8emo,summary,023.docx,1176,27352,0.15371822147609565,0.12438723767535811,0.23995252507841722,0.19964720221785956,0.015249026894429224,0.12662075489397528,0.11394433056195995,0.032247350450413506,Average Token Length: 23.26
024_8emo,summary,024.docx,1458,22710,0.1707084204016933,0.10666405391529335,0.20179212178612724,0.21247399262975344,0.02012262834888846,0.09283119426568809,0.10778726829089408,0.037923357392302286,Average Token Length: 15.58
025_8emo,summary,025.docx,1073,16573,0.14904750214815002,0.11292798550042626,0.19826530886879964,0.18514187885352862,0.019111447884156113,0.07977716424194306,0.10978845915716326,0.03209735349722064,Average Token Length: 15.45
026_8emo,summary,026.docx,1408,27049,0.17999975920710395,0.09986535730852418,0.2513314920412416,0.188254425763179,0.012210267160133464,0.08230279877865211,0.08769830403120564,0.03392957470615246,Average Token Length: 19.21
027_8emo,summary,027.docx,991,20079,0.24510679257715048,0.0981378807516169,0.2106377564877644,0.2172346023775028,0.008105252141332184,0.0762939816007182,0.06620429847323675,0.0613957056150735,Average Token Length: 20.26
028_8emo,summary,028.docx,969,22985,0.15473714982682282,0.1186392965108556,0.20443574711319992,0.23536801106085994,0.015147517309106033,0.1089031814114105,0.11494093434188334,0.026361262344806173,Average Token Length: 23.72
029_8emo,summary,029.docx,888,19001,0.14404246141386284,0.12481629801651899,0.19186914586283788,0.2008932938380796,0.02091663428264993,0.09340037454207016,0.12891813901699828,0.04256412089340334,Average Token Length: 21.40
030_8emo,summary,030.docx,907,19808,0.1844522620154937,0.08960590697106184,0.22279641977429201,0.22257843165521848,0.008861381727999308,0.10434428326705472,0.0800303337770045,0.0468119326148484,Average Token Length: 21.84
031_8emo,summary,031.docx,855,19001,0.12517530349987335,0.11884790704209815,0.22493909327857936,0.19349664866390545,0.019657130110654873,0.1039073253339102,0.127529365916829,0.03702459138578447,Average Token Length: 22.22
